,core_code,core,unit,depth,order,type,density (g/cm3),P (mg/kg),P Density (kg/m3)
134,07330,7,3.0,3.0,3,erosion,1.2693335697020465,1278.6561264822135,1.6230411454490594
135,07330,7,3.0,3.0,3,erosion,1.2693335697020465,810.2040816326531,1.028419239125944
136,07330,7,3.0,3.0,3,erosion,1.2693335697020465,881.4741035856574,1.118884670504294
137,07335,7,3.0,3.5,3,erosion,1.5212780466808309,308.16326530612247,0.4688020103036847
138,07335,7,3.0,3.5,3,erosion,1.5212780466808309,326.0869565217391,0.4960689282654884
139,07335,7,3.0,3.5,3,erosion,1.5212780466808309,263.36633663366337,0.40065342615554556
140,07345,7,3.0,4.5,3,erosion,1.639240964496786,276.1806981519507,0.4527267140139994
141,07345,7,3.0,4.5,3,erosion,1.639240964496786,296.3340122199593,0.4857628520046484
142,07345,7,3.0,4.5,3,erosion,1.639240964496786,272.72727272727275,0.4470657175900326
143,01400,1,4.0,0.0,6,erosion,,311.7647058823529,
144,01400,1,4.0,0.0,6,erosion,,299.21259842519686,
145,01400,1,4.0,0.0,6,erosion,,324.8987854251012,
146,14105,14,1.0,0.5,1,erosion,1.1337912198438806,231.16089613034623,0.26208819440382985
147,14200,14,2.0,0.0,1,erosion,1.0767812860247492,190.4296875,0.20505112380354112
148,14200,14,2.0,0.0,1,erosion,1.0767812860247492,183.09859154929578,0.197157136877771
149,14200,14,2.0,0.0,1,erosion,1.0767812860247492,323.3532934131737,0.34818077512177525
150,14205,14,2.0,0.5,1,erosion,1.253725662748682,117.87819253438114,0.14778691505878375
151,14205,14,2.0,0.5,1,erosion,1.253725662748682,159.59595959595958,0.2000895502164563
152,14205,14,2.0,0.5,1,erosion,1.253725662748682,125.96899224806201,0.1579305582919851
153,14300,14,3.0,0.0,1,erosion,1.2936490457978143,193.5483870967742,0.2503836862834479
154,14300,14,3.0,0.0,1,erosion,1.2936490457978143,156.6147859922179,0.20260456845666155
155,14300,14,3.0,0.0,1,erosion,1.2936490457978143,71.70923379174853,0.09276658186958786
156,14305,14,3.0,0.5,1,erosion,1.2357354963129616,155.31062124248498,0.19192284762375658
157,14305,14,3.0,0.5,1,erosion,1.2357354963129616,249.498997995992,0.3083147681181638
158,14305,14,3.0,0.5,1,erosion,1.2357354963129616,161.67664670658684,0.19978957126017943
159,14310,14,3.0,1.0,1,erosion,1.246661031180317,271.0843373493976,0.33795027953683293
160,14310,14,3.0,1.0,1,erosion,1.246661031180317,104.95049504950495,0.1308376923813006
161,14310,14,3.0,1.0,1,erosion,1.246661031180317,127.18446601941747,0.15855591755788498
162,14315,14,3.0,1.5,1,erosion,1.2337639712241157,213.01775147928993,0.2628136270063205
163,14315,14,3.0,1.5,1,erosion,1.2337639712241157,219.1919191919192,0.2704310926824577
164,14315,14,3.0,1.5,1,erosion,1.2337639712241157,228.4313725490196,0.2818303973482539
165,14320,14,3.0,2.0,1,erosion,1.3349689257848794,206.12244897959184,0.2751670642944343
166,14320,14,3.0,2.0,1,erosion,1.3349689257848794,323.2323232323232,0.4315051073244054
167,14320,14,3.0,2.0,1,erosion,1.3349689257848794,219.92110453648914,0.2935878406805011
168,14325,14,3.0,2.5,1,erosion,1.476918732181795,263.47305389221555,0.3891282887185567
169,14325,14,3.0,2.5,1,erosion,1.476918732181795,228.7128712871287,0.3377903238950442
170,14325,14,3.0,2.5,1,erosion,1.476918732181795,270.45908183632736,0.3994460842527609
171,14330,14,3.0,3.0,1,erosion,1.4652538754061224,239.3939393939394,0.3507728974457081
172,14330,14,3.0,3.0,1,erosion,1.4652538754061224,258.7890625,0.37919167674084225
173,14330,14,3.0,3.0,1,erosion,1.4652538754061224,302.0,0.44250667037264896
174,14334,14,3.0,3.4,1,erosion,1.8556979898763415,784.4488188976378,1.4557000963892166
175,14334,14,3.0,3.4,1,erosion,1.8556979898763415,143.98422090729784,0.2671912293115837
176,14334,14,3.0,3.4,1,erosion,1.8556979898763415,368.52589641434264,0.6838727651934724
177,16100,16,1.0,0.0,5,erosion,0.9652258247475438,422.0907297830375,0.407412872773125
178,16100,16,1.0,0.0,5,erosion,0.9652258247475438,454.0918163672655,0.43830114796420405
179,16100,16,1.0,0.0,5,erosion,0.9652258247475438,438.99999999999994,0.4237341370641717
180,16103,16,1.0,0.3,5,erosion,1.1831614939437336,265.59356136820924,0.31424007485024713
181,16103,16,1.0,0.3,5,erosion,1.1831614939437336,303.82293762575455,0.35947160077566154
182,16103,16,1.0,0.3,5,erosion,1.1831614939437336,315.8953722334004,0.3737552405415818
183,16200,16,2.0,0.0,5,erosion,1.0771920204182588,289.0466531440162,0.31135874829533844
184,16200,16,2.0,0.0,5,erosion,1.0771920204182588,306.06060606060606,0.329686042612861
185,16200,16,2.0,0.0,5,erosion,1.0771920204182588,274.4510978043912,0.29563653254992134
186,16205,16,2.0,0.5,5,erosion,1.0552588038048465,373.2943469785575,0.3939221460597039
187,16205,16,2.0,0.5,5,erosion,1.0552588038048465,404.0,0.42632455673715797
188,16205,16,2.0,0.5,5,erosion,1.0552588038048465,466.0,0.49175060257305847
189,16208,16,2.0,0.8,5,erosion,1.1690322308070038,455.35714285714283,0.5323271765281892
190,16208,16,2.0,0.8,5,erosion,1.1690322308070038,414.8296593186372,0.48494924203817585
191,16208,16,2.0,0.8,5,erosion,1.1690322308070038,232.28346456692913,0.27154685676225676
192,16300,16,3.0,0.0,5,erosion,1.1998373103202233,381.3387423935091,0.4575444509943245
193,16300,16,3.0,0.0,5,erosion,1.1998373103202233,428.85375494071144,0.5145547358487914
194,16300,16,3.0,0.0,5,erosion,1.1998373103202233,405.99999999999994,0.4871339479900106
195,16305,16,3.0,0.5,5,erosion,1.2709765072760848,344.758064516129,0.43817940069397276
196,16305,16,3.0,0.5,5,erosion,1.2709765072760848,291.75050301810865,0.3708080353219966
197,16310,16,3.0,1.0,5,erosion,1.226452899019645,190.8548707753479,0.23407450955444517
198,16310,16,3.0,1.0,5,erosion,1.226452899019645,227.99999999999997,0.27963126097647906
199,16315,16,3.0,1.5,5,erosion,1.1372413887493613,298.804780876494,0.33981316396893263
200,16315,16,3.0,1.5,5,erosion,1.1372413887493613,154.69061876247505,0.17592057410793516
201,16320,16,3.0,2.0,5,erosion,1.371688580564637,241.22376936654246,0.330883889800844
202,16320,16,3.0,2.0,5,erosion,1.371688580564637,307.6923076923077,0.4220580247891191
203,16325,16,3.0,2.5,5,erosion,1.440445518038143,278.86497064579254,0.4016897971045702
204,16325,16,3.0,2.5,5,erosion,1.440445518038143,308.4479371316306,0.44430244858936824
205,16330,16,3.0,3.0,5,erosion,1.3983041692640588,294.949494949495,0.41242910851020725
206,16330,16,3.0,3.0,5,erosion,1.3983041692640588,296.03960396039605,0.41395341248510253
207,16335,16,3.0,3.5,5,erosion,1.4659110504357376,399.0,0.5848985091238593
208,16335,16,3.0,3.5,5,erosion,1.4659110504357376,383.53413654618475,0.5622269289823814
209,16340,16,3.0,4.0,5,erosion,1.2765624950278154,381.76352705410824,0.4873450006068113
210,16340,16,3.0,4.0,5,erosion,1.2765624950278154,315.84158415841586,0.4031915207068051
211,16345,16,3.0,4.5,5,erosion,1.6226472949989983,145.3252032520325,0.23581154795209017
212,16345,16,3.0,4.5,5,erosion,1.6226472949989983,129.32790224032587,0.20985357073815966
213,02100,2,1.0,0.0,4,erosion,1.0104887549123007,685.0,0.692184797114926
214,02100,2,1.0,0.0,4,erosion,1.0104887549123007,947.7911646586346,0.957732313892783
215,02100,2,1.0,0.0,4,erosion,1.0104887549123007,872.7810650887574,0.8819354517725702
216,02105,2,1.0,0.5,4,erosion,0.9621042433568707,524.0,0.5041426235190003
217,02105,2,1.0,0.5,4,erosion,0.9621042433568707,583.3333333333334,0.561227475291508
218,02105,2,1.0,0.5,4,erosion,0.9621042433568707,562.2489959839357,0.5409421448592848
219,02110,2,1.0,1.0,4,erosion,0.9780407378250431,531.7460317460317,0.5200692812244276
220,02110,2,1.0,1.0,4,erosion,0.9780407378250431,480.3536345776031,0.46980542317922
221,02110,2,1.0,1.0,4,erosion,0.9780407378250431,512.6953125,0.501436901716941
222,02200,2,2.0,0.0,4,erosion,0.9585719275726883,622.2444889779559,0.5964660992210816
223,02200,2,2.0,0.0,4,erosion,0.9585719275726883,643.9688715953307,0.6172904825419452
224,02200,2,2.0,0.0,4,erosion,0.9585719275726883,634.4621513944223,0.6081776074340662
225,02205,2,2.0,0.5,4,erosion,1.0012061576189841,230.69306930693068,0.23097132151012206
226,02205,2,2.0,0.5,4,erosion,1.0012061576189841,253.95256916996047,0.2542588759961254
227,02205,2,2.0,0.5,4,erosion,1.0012061576189841,240.11857707509884,0.24040819792629758
228,02300,2,3.0,0.0,4,erosion,1.127548057062535,295.36290322580646,0.3330358676606076
229,02300,2,3.0,0.0,4,erosion,1.127548057062535,276.23762376237624,0.3114711959608389
230,02300,2,3.0,0.0,4,erosion,1.127548057062535,276.0,0.3112032637492596
231,02305,2,3.0,0.5,4,erosion,1.1261926335639534,381.60469667318984,0.4297603983267533
232,02305,2,3.0,0.5,4,erosion,1.1261926335639534,405.0,0.45610801659340117
233,02305,2,3.0,0.5,4,erosion,1.1261926335639534,403.75,0.4547002758014462
234,02310,2,3.0,1.0,4,erosion,1.1237693006422467,350.4950495049505,0.3938755766607478
235,02310,2,3.0,1.0,4,erosion,1.1237693006422467,306.0344827586207,0.34391215666206687
236,02310,2,3.0,1.0,4,erosion,1.1237693006422467,378.5425101214575,0.42539445186255087
237,02315,2,3.0,1.5,4,erosion,1.0725096483322494,535.4330708661417,0.574257134540102
238,02315,2,3.0,1.5,4,erosion,1.0725096483322494,582.9959514170041,0.6252687828333763
239,02315,2,3.0,1.5,4,erosion,1.0725096483322494,561.6438356164383,0.6023684326249619
240,02325,2,3.0,2.5,4,erosion,1.1393772075956112,516.8316831683168,0.5888662399652564
241,02325,2,3.0,2.5,4,erosion,1.1393772075956112,563.6363636363636,0.6421944260993445
242,02325,2,3.0,2.5,4,erosion,1.1393772075956112,552.1653543307086,0.6291246195483641
243,02330,2,3.0,3.0,4,erosion,1.211337873338492,1764.763779527559,2.137725203637713
244,02330,2,3.0,3.0,4,erosion,1.211337873338492,1854.7094188376757,2.2466797630757007
245,02330,2,3.0,3.0,4,erosion,1.211337873338492,1828.6852589641435,2.215155712599075
246,08100,8,1.0,0.0,1,erosion,1.1751932467096478,324.5967741935484,0.38146393693599456
