,gridcode,area,perim,hdiff,vol_chg,StrmOrder
435,1,355.728,342.82,0.2,71.1456,4
436,2,40.1868,76.86,-0.847585,-34.0617,3
437,1,1283.37,1315.16,1.46,1873.72,3
438,1,31.2564,37.82,0.51,15.9408,4
439,1,40.5589,67.1,0.22,8.92296,3
440,1,340.471,374.54,0.33,112.355,3
441,1,67.7222,92.72,1.08,73.14,3
442,2,45.3962,67.1,-0.818264,-37.1461,3
443,1,75.9084,111.02,0.7,53.1359,3
444,1,18.2329,26.84,0.24,4.3759,4
445,1,31.6285,41.48,0.63,19.926,4
446,1,162.608,245.22,1.55,252.042,3
447,2,6.3257,14.64,-0.42,-2.65679,3
448,1,40.5589,62.22,0.24,9.73414,3
449,2,38.6984,64.66,-0.820867,-31.7662,4
450,2,101.583,141.52,-1.35013,-137.151,3
451,1,328.192,350.14,0.48,157.532,3
452,1,49.1172,74.42,0.18,8.8411,3
453,2,16.3724,37.82,-1.02,-16.6998,4
454,1,1628.68,1372.5,0.49,798.053,3
455,2,22.326,43.92,-0.12,-2.67912,3
456,1,112.746,147.62,0.23,25.9316,3
457,2,38.3263,68.32,-1.17074,-44.87,4
458,2,17.4887,29.28,-3.2,-55.9638,3
459,1,16.3724,28.06,1.08,17.6822,3
460,2,8.9304,17.08,-0.3,-2.67912,3
461,2,47.2567,68.32,-1.62751,-76.9109,3
462,2,31.6285,65.88,-0.327143,-10.347,3
463,1,130.235,203.74,0.58,75.5363,3
464,1,891.18,801.54,0.43,383.207,4
465,1,20.0934,40.26,0.85,17.0794,4
466,2,23.8144,42.7,-0.34,-8.0969,3
467,1,60.6523,73.2,0.16,9.70437,3
468,2,37.5821,40.26,-3.12979,-117.624,3
469,2,12.6514,31.72,-1.7319,-21.9109,3
470,1,18.605,35.38,0.09,1.67445,4
471,2,19.3492,45.14,-1.22826,-23.7658,3
472,1,182.329,257.42,0.53,96.6344,3
473,1,67.7222,69.54,0.33,22.3483,3
474,2,20.8376,32.94,-1.40791,-29.3376,3
475,1,29.768,57.34,0.23,6.84664,3
476,1,57.6755,87.84,0.33,19.0329,3
477,2,21.5818,37.82,-0.964987,-20.8262,3
478,1,37.9542,70.76,0.39,14.8021,3
479,1,90.0482,129.32,0.16,14.4077,3
480,1,296.936,339.16,0.28,83.1421,4
481,1,81.1178,82.96,0.24,19.4683,4
482,1,61.0244,125.66,0.28,17.0868,3
483,1,681.687,617.32,0.47,320.393,3
484,1,50.2335,78.08,0.2,10.0467,3
485,1,159.259,233.02,0.5,79.6295,3
486,2,55.4429,78.08,-2.10616,-116.771,4
487,1,28.6517,51.24,0.23,6.58989,3
488,1,23.4423,35.38,0.91,21.3325,3
489,1,109.025,162.26,0.2,21.805,3
490,1,45.0241,65.88,0.61,27.4647,3
491,1,56.9313,89.06,0.1,5.69313,3
492,1,18.2329,31.72,0.03,0.546987,3
493,1,33.8611,54.9,0.26,8.80389,3
494,1,35.7216,59.78,0.77,27.5056,4
495,1,20.4655,42.7,0.64,13.0979,3
496,1,421.589,514.84,0.58,244.522,3
497,1,63.6291,93.94,0.25,15.9073,4
498,1,51.7219,74.42,0.42,21.7232,3
499,1,149.584,168.36,0.28,41.8835,4
500,1,45.3962,76.86,0.13,5.90151,3
501,1,18.9771,29.28,0.09,1.70794,3
502,1,420.473,411.14,0.27,113.528,4
503,1,91.9087,98.82,0.18,16.5436,3
504,1,61.3965,117.12,0.19,11.6653,4
505,1,62.5128,100.04,0.21,13.1277,4
506,2,11.163,23.18,-0.14,-1.56282,3
507,1,26.047,46.36,0.34,8.85598,3
508,1,28.6517,65.88,0.22,6.30337,4
509,2,15.2561,34.16,-0.44,-6.71268,3
510,1,37.21,58.56,0.3,11.163,4
511,1,386.984,502.64,0.45,174.143,3
512,2,16.7445,31.72,-0.409227,-6.8523,3
513,1,56.5592,69.54,0.96,54.2968,3
514,1,58.4197,59.78,0.37,21.6153,4
515,1,65.8617,54.9,0.22,14.4896,3
516,1,126.886,151.28,0.12,15.2263,3
517,2,26.4191,28.06,-0.117757,-3.11103,4
518,2,12.6514,20.74,-0.75354,-9.53333,4
519,2,32.7448,51.24,-1.55361,-50.8726,3
520,2,10.4188,21.96,-0.08,-0.833504,4
521,1,224.376,240.34,0.43,96.4817,3
522,1,19.7213,32.94,0.34,6.70524,3
523,2,49.8614,92.72,-0.88,-43.878,3
524,1,58.4197,96.38,0.25,14.6049,4
525,2,22.6981,35.38,-4.68,-106.227,3
526,1,50.6056,74.42,0.61,30.8694,3
527,2,19.7213,24.4,-0.18,-3.54983,3
528,1,209.492,209.84,0.15,31.4238,3
529,1,241.121,202.52,0.91,219.42,3
530,2,8.5583,18.3,-1.14,-9.75646,3
531,1,47.2567,69.54,0.47,22.2106,4
532,1,122.421,162.26,0.72,88.1431,3
533,2,19.3492,46.36,-1.32,-25.5409,3
534,2,24.9307,37.82,-0.1,-2.49307,3
535,1,105.304,87.84,0.2,21.0608,4
536,1,25.3028,56.12,0.07,1.7712,3
537,1,34.9774,46.36,1.08,37.7756,4
538,1,37.5821,69.54,0.08,3.00657,4
539,1,378.054,509.96,0.52,196.588,3
540,1,141.77,189.1,1.13,160.2,3
541,1,49.4893,62.22,1.3,64.3361,3
542,1,25.6749,45.14,0.05,1.28375,3
543,1,24.5586,35.38,0.42,10.3146,3
544,2,26.047,48.8,-0.493153,-12.8452,3
545,1,13.3956,25.62,0.3,4.01868,3
546,1,432.752,446.52,0.37,160.118,4
547,1,33.489,51.24,0.06,2.00934,3
548,1,99.3507,152.5,0.46,45.7013,3
549,1,129.491,179.34,0.41,53.0913,3
550,1,50.2335,82.96,0.37,18.5864,3
551,2,13.3956,37.82,-1.36,-18.218,3
552,1,148.468,184.22,0.62,92.0502,3
553,1,25.3028,43.92,0.04,1.01211,4
